July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Units are (°C).


TC_time        	TC_0	TC_1	TC_2	TC_3	TC_4	TC_5	TC_6	TC_7	TC_8	TC_9	TC_10	TC_11	TC_12	TC_13	TC_14	TC_15
8195.798711	-34.922	-33.041	-33.536	-29.790	-28.114	-25.232	-21.668	-15.088	-9.930	-4.174	0.456	9.739	16.732	23.954	31.458	38.967
8195.799686	-20.328	-13.307	-8.789	-0.442	5.634	12.582	19.862	29.656	37.735	46.020	52.895	63.804	72.119	80.244	88.230	95.812
8195.800686	27.840	37.991	45.374	56.007	64.072	72.524	80.851	91.146	99.357	107.328	113.500	123.155	129.879	136.009	141.610	146.433
8195.801679	87.640	97.829	104.927	114.749	121.672	128.566	134.943	142.870	148.391	153.328	156.159	162.130	164.919	166.866	168.059	168.286
8195.802676	141.361	148.690	152.622	158.904	162.008	164.790	166.797	170.116	170.844	170.825	168.575	169.369	166.932	163.637	159.612	154.679
8195.803672	167.981	170.260	168.996	169.957	167.664	165.007	161.575	159.493	154.896	149.668	142.354	138.290	131.206	123.517	115.378	106.639
8195.804674	155.672	152.816	146.536	142.655	135.705	128.622	121.019	115.077	106.915	98.457	88.241	81.729	72.539	63.146	53.723	44.119
8195.805669	110.788	104.498	95.085	88.482	79.142	70.068	60.879	53.839	44.953	36.213	26.099	20.312	12.196	4.332	-3.086	-10.304
8195.806665	51.163	44.270	34.584	28.267	19.552	11.565	3.908	-1.037	-7.498	-13.423	-20.384	-22.365	-26.431	-29.886	-32.578	-34.715
8195.807662	-4.348	-8.700	-15.593	-18.489	-23.518	-27.397	-30.579	-30.623	-31.962	-32.466	-33.835	-30.023	-28.258	-25.856	-22.720	-19.115
8195.808947	-35.055	-32.806	-32.935	-28.834	-26.810	-23.594	-19.710	-12.834	-7.402	-1.422	3.443	12.917	20.083	27.450	35.071	42.670
8195.809946	-14.370	-6.621	-1.458	7.445	14.069	21.483	29.156	39.251	47.571	56.022	63.000	73.911	82.173	90.175	97.967	105.287
8195.810941	37.491	47.859	55.405	66.105	74.182	82.570	90.763	100.845	108.784	116.418	122.193	131.381	137.586	143.144	148.121	152.274
8195.811934	99.164	109.018	115.717	125.054	131.429	137.705	143.400	150.582	155.307	159.398	161.340	166.382	168.213	169.177	169.372	168.589
8195.812931	147.420	154.115	157.378	162.954	165.324	167.348	168.579	171.108	171.039	170.222	167.178	167.188	163.983	159.942	155.197	149.575
8195.813929	168.508	170.201	168.353	168.733	165.869	162.654	158.680	156.079	150.987	145.291	137.538	133.075	125.625	117.607	109.182	100.197
8195.814925	152.795	149.538	142.880	138.648	131.375	123.997	116.133	109.968	101.614	93.001	82.665	76.081	66.853	57.461	48.079	38.557
8195.815929	113.593	107.414	98.094	91.560	82.271	73.225	64.042	56.980	48.055	39.251	29.053	23.149	14.901	6.880	-0.726	-8.111
8195.816969	62.530	55.517	45.651	39.041	29.974	21.546	13.367	7.787	0.655	-5.961	-13.741	-16.646	-21.672	-26.131	-29.866	-33.078
8195.817922	16.850	11.065	2.667	-1.990	-8.913	-14.878	-20.267	-22.645	-26.373	-29.328	-33.184	-31.868	-32.581	-32.612	-31.843	-30.517
8195.818919	-25.913	-27.432	-31.358	-31.076	-32.847	-33.363	-33.114	-29.697	-27.590	-24.695	-22.719	-15.737	-10.900	-5.600	0.179	6.228
