July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Counter data is in units of (Counts). Voltage data is in units of (V).


VI_time      	ctr0	VI_0	VI_1	VI_2	VI_3	VI_4	VI_5	VI_6	VI_7	VI_8	VI_9	VI_10	VI_11	VI_12	VI_13	VI_14	VI_15	VI_16	VI_17	VI_18	VI_19	VI_20	VI_21	VI_22	VI_23	VI_24	VI_25	VI_26	VI_27	VI_28	VI_29	VI_30	VI_31
8196.316629	0.000	5.353	4.804	3.940	3.340	2.464	1.605	0.726	0.044	-0.822	-1.684	-2.680	-3.279	-4.103	-4.910	-5.683	-6.437	-7.034	-7.519	-8.094	-8.537	-8.676	-9.156	-9.502	-9.714	-9.816	-9.736	-9.646	-9.518	-9.319	-9.057	-8.859	-8.314
8196.317595	0.000	-0.089	-0.765	-1.716	-2.359	-3.235	-4.050	-4.842	-5.395	-6.091	-6.741	-7.489	-7.803	-8.306	-8.761	-9.152	-9.499	-9.664	-9.698	-9.805	-9.768	-9.416	-9.401	-9.250	-8.965	-8.578	-8.017	-7.460	-6.880	-6.251	-5.581	-5.003	-4.105
8196.318601	0.000	-5.398	-5.921	-6.677	-7.088	-7.696	-8.210	-8.669	-8.859	-9.167	-9.405	-9.720	-9.584	-9.625	-9.607	-9.519	-9.383	-9.067	-8.624	-8.263	-7.769	-6.975	-6.537	-5.984	-5.323	-4.587	-3.708	-2.865	-2.035	-1.192	-0.347	0.367	1.358
8196.319589	0.000	-9.191	-9.294	-9.606	-9.550	-9.672	-9.685	-9.631	-9.303	-9.088	-8.804	-8.601	-7.956	-7.500	-7.001	-6.453	-5.880	-5.153	-4.329	-3.620	-2.813	-1.744	-1.071	-0.324	0.487	1.330	2.270	3.129	3.929	4.697	5.422	5.972	6.758
8196.320584	0.000	-9.481	-9.046	-8.822	-8.236	-7.838	-7.344	-6.802	-6.006	-5.350	-4.652	-4.068	-3.076	-2.310	-1.540	-0.762	-0.003	0.864	1.783	2.542	3.351	4.374	4.956	5.565	6.195	6.811	7.484	8.036	8.492	8.880	9.194	9.305	9.625
8196.321584	0.000	-6.046	-5.184	-4.562	-3.610	-2.882	-2.095	-1.301	-0.294	0.530	1.350	2.011	3.034	3.784	4.492	5.161	5.767	6.438	7.117	7.596	8.086	8.755	8.949	9.140	9.323	9.471	9.654	9.700	9.637	9.498	9.280	8.857	8.648
8196.322587	0.000	-0.332	0.682	1.412	2.426	3.171	3.927	4.646	5.531	6.191	6.802	7.214	7.947	8.370	8.716	8.992	9.175	9.396	9.604	9.592	9.577	9.729	9.399	9.061	8.718	8.343	8.012	7.556	7.008	6.404	5.744	4.907	4.313
8196.323584	0.000	5.502	6.336	6.843	7.592	8.033	8.448	8.791	9.270	9.494	9.645	9.574	9.807	9.716	9.537	9.282	8.932	8.622	8.305	7.777	7.260	6.928	6.135	5.360	4.607	3.854	3.179	2.415	1.599	0.768	-0.076	-1.053	-1.742
8196.324577	0.000	9.017	9.427	9.486	9.768	9.724	9.642	9.479	9.447	9.157	8.798	8.223	7.963	7.392	6.752	6.056	5.290	4.592	3.917	3.065	2.259	1.677	0.674	-0.270	-1.149	-1.985	-2.697	-3.454	-4.219	-4.953	-5.658	-6.453	-6.919
8196.325575	0.000	9.148	9.040	8.584	8.358	7.817	7.252	6.625	6.149	5.442	4.693	3.760	3.176	2.318	1.428	0.523	-0.410	-1.230	-1.984	-2.870	-3.665	-4.190	-5.093	-5.892	-6.583	-7.190	-7.634	-8.085	-8.508	-8.869	-9.169	-9.534	-9.546
8196.326576	0.000	6.033	5.527	4.699	4.130	3.279	2.439	1.573	0.897	0.029	-0.839	-1.848	-2.468	-3.318	-4.156	-4.967	-5.764	-6.409	-6.947	-7.579	-8.084	-8.287	-8.836	-9.252	-9.535	-9.711	-9.705	-9.690	-9.635	-9.510	-9.319	-9.191	-8.713
8196.327570	0.000	0.581	-0.096	-1.052	-1.705	-2.596	-3.431	-4.248	-4.830	-5.560	-6.249	-7.037	-7.396	-7.948	-8.453	-8.898	-9.299	-9.521	-9.612	-9.778	-9.799	-9.505	-9.548	-9.453	-9.223	-8.889	-8.379	-7.869	-7.334	-6.746	-6.114	-5.569	-4.701
8196.328575	0.000	-5.035	-5.577	-6.358	-6.795	-7.431	-7.975	-8.465	-8.689	-9.032	-9.306	-9.657	-9.559	-9.636	-9.655	-9.604	-9.504	-9.223	-8.814	-8.486	-8.022	-7.257	-6.846	-6.318	-5.679	-4.962	-4.099	-3.270	-2.450	-1.614	-0.773	-0.059	0.935
8196.329569	0.000	-8.792	-8.974	-9.368	-9.395	-9.602	-9.700	-9.731	-9.487	-9.354	-9.151	-9.026	-8.457	-8.072	-7.639	-7.153	-6.636	-5.960	-5.181	-4.509	-3.734	-2.689	-2.033	-1.296	-0.487	0.360	1.313	2.191	3.019	3.821	4.586	5.183	6.021
8196.330569	0.000	-9.730	-9.393	-9.263	-8.768	-8.458	-8.047	-7.583	-6.859	-6.267	-5.627	-5.093	-4.144	-3.413	-2.669	-1.910	-1.159	-0.292	0.636	1.411	2.246	3.304	3.929	4.588	5.275	5.957	6.701	7.330	7.868	8.345	8.750	8.955	9.373
8196.331557	0.000	-6.965	-6.169	-5.606	-4.704	-4.018	-3.266	-2.496	-1.505	-0.688	0.135	0.808	1.852	2.632	3.379	4.096	4.757	5.491	6.241	6.796	7.369	8.127	8.414	8.702	8.987	9.238	9.526	9.677	9.721	9.688	9.574	9.253	9.143
8196.332563	0.000	-2.325	-1.324	-0.593	0.438	1.214	2.017	2.797	3.759	4.506	5.220	5.745	6.603	7.162	7.652	8.080	8.422	8.809	9.186	9.347	9.506	9.833	9.677	9.512	9.338	9.126	8.954	8.649	8.244	7.773	7.236	6.510	6.015
8196.333588	0.000	3.590	4.525	5.145	6.022	6.601	7.166	7.669	8.316	8.715	9.047	9.162	9.584	9.684	9.696	9.630	9.467	9.341	9.201	8.844	8.490	8.311	7.660	7.016	6.382	5.733	5.149	4.461	3.705	2.918	2.102	1.136	0.441
8196.334559	0.000	7.941	8.545	8.804	9.292	9.458	9.588	9.637	9.815	9.734	9.578	9.201	9.131	8.742	8.273	7.736	7.117	6.552	5.995	5.245	4.525	4.011	3.058	2.147	1.282	0.441	-0.294	-1.092	-1.916	-2.727	-3.526	-4.431	-5.022
8196.335550	0.000	9.541	9.635	9.377	9.342	8.985	8.596	8.134	7.812	7.246	6.625	5.804	5.317	4.539	3.713	2.855	1.950	1.140	0.379	-0.532	-1.370	-1.956	-2.936	-3.829	-4.630	-5.362	-5.944	-6.546	-7.132	-7.667	-8.150	-8.705	-8.914
8196.336545	0.000	7.515	7.136	6.423	5.957	5.194	4.428	3.620	2.987	2.147	1.290	0.274	-0.366	-1.253	-2.145	-3.024	-3.904	-4.646	-5.295	-6.051	-6.690	-7.039	-7.742	-8.322	-8.776	-9.128	-9.303	-9.471	-9.602	-9.662	-9.656	-9.710	-9.410
8196.337551	0.000	2.498	1.843	0.895	0.235	-0.678	-1.550	-2.418	-3.065	-3.873	-4.652	-5.544	-6.018	-6.694	-7.334	-7.922	-8.474	-8.852	-9.106	-9.437	-9.627	-9.503	-9.715	-9.788	-9.725	-9.552	-9.199	-8.840	-8.449	-7.996	-7.489	-7.059	-6.294
8196.338539	0.000	-3.378	-3.994	-4.859	-5.393	-6.136	-6.797	-7.414	-7.772	-8.255	-8.677	-9.180	-9.237	-9.472	-9.650	-9.758	-9.816	-9.691	-9.434	-9.252	-8.931	-8.301	-8.016	-7.605	-7.074	-6.455	-5.678	-4.922	-4.164	-3.376	-2.570	-1.877	-0.891
8196.339534	0.000	-8.172	-8.448	-8.939	-9.068	-9.378	-9.581	-9.718	-9.580	-9.553	-9.454	-9.431	-8.960	-8.670	-8.327	-7.926	-7.488	-6.885	-6.171	-5.558	-4.832	-3.829	-3.206	-2.494	-1.699	-0.858	0.099	0.990	1.839	2.672	3.477	4.121	5.016
8196.340541	0.000	-9.848	-9.626	-9.611	-9.227	-9.025	-8.718	-8.352	-7.720	-7.215	-6.654	-6.192	-5.305	-4.627	-3.929	-3.204	-2.479	-1.626	-0.704	0.077	0.927	2.011	2.670	3.374	4.116	4.860	5.676	6.383	7.008	7.577	8.081	8.390	8.916
8196.341534	0.000	-7.814	-7.098	-6.607	-5.772	-5.143	-4.440	-3.710	-2.749	-1.953	-1.142	-0.470	0.581	1.379	2.153	2.906	3.613	4.401	5.214	5.839	6.490	7.332	7.710	8.093	8.479	8.833	9.229	9.490	9.645	9.723	9.720	9.510	9.508
8196.342528	0.000	-2.738	-1.745	-1.018	0.011	0.790	1.598	2.387	3.360	4.122	4.853	5.399	6.280	6.864	7.382	7.840	8.214	8.634	9.046	9.242	9.438	9.802	9.683	9.555	9.418	9.243	9.106	8.834	8.462	8.022	7.514	6.816	6.346
8196.343525	0.000	3.193	4.143	4.781	5.678	6.281	6.872	7.403	8.080	8.511	8.876	9.026	9.484	9.620	9.669	9.641	9.515	9.425	9.321	9.000	8.679	8.533	7.914	7.299	6.691	6.067	5.505	4.836	4.096	3.322	2.516	1.557	0.867
8196.344521	0.000	7.804	8.426	8.705	9.212	9.398	9.549	9.619	9.819	9.758	9.624	9.268	9.218	8.848	8.397	7.879	7.276	6.726	6.184	5.447	4.738	4.233	3.288	2.383	1.522	0.685	-0.050	-0.849	-1.676	-2.493	-3.298	-4.211	-4.813
8196.345518	0.000	9.548	9.664	9.427	9.413	9.076	8.706	8.262	7.958	7.408	6.802	5.996	5.520	4.754	3.937	3.086	2.188	1.381	0.622	-0.288	-1.127	-1.718	-2.703	-3.603	-4.413	-5.154	-5.749	-6.364	-6.965	-7.516	-8.017	-8.590	-8.818
8196.346527	0.000	7.552	7.177	6.468	6.005	5.246	4.482	3.676	3.045	2.206	1.350	0.335	-0.305	-1.193	-2.085	-2.966	-3.848	-4.592	-5.244	-6.003	-6.646	-6.998	-7.706	-8.289	-8.748	-9.105	-9.284	-9.458	-9.594	-9.660	-9.659	-9.718	-9.423
8196.347517	0.000	2.906	2.260	1.318	0.661	-0.252	-1.127	-2.002	-2.659	-3.480	-4.275	-5.186	-5.681	-6.382	-7.048	-7.665	-8.247	-8.658	-8.945	-9.312	-9.537	-9.450	-9.699	-9.810	-9.783	-9.648	-9.330	-9.006	-8.649	-8.227	-7.751	-7.349	-6.611
8196.348560	0.000	-3.263	-3.883	-4.753	-5.292	-6.042	-6.710	-7.334	-7.700	-8.193	-8.623	-9.136	-9.203	-9.449	-9.637	-9.756	-9.825	-9.710	-9.464	-9.292	-8.981	-8.360	-8.084	-7.682	-7.159	-6.546	-5.776	-5.027	-4.273	-3.490	-2.687	-1.997	-1.012
8196.349511	0.000	-7.466	-7.824	-8.403	-8.623	-9.028	-9.328	-9.565	-9.527	-9.601	-9.603	-9.679	-9.306	-9.110	-8.860	-8.546	-8.191	-7.665	-7.023	-6.474	-5.807	-4.855	-4.274	-3.597	-2.829	-2.005	-1.057	-0.166	0.691	1.541	2.372	3.051	3.988
8196.350513	0.000	-9.787	-9.677	-9.773	-9.500	-9.405	-9.203	-8.939	-8.404	-7.990	-7.515	-7.131	-6.317	-5.704	-5.061	-4.384	-3.697	-2.874	-1.971	-1.200	-0.351	0.742	1.421	2.153	2.932	3.724	4.594	5.366	6.062	6.710	7.299	7.699	8.321
8196.351497	0.000	-8.736	-8.142	-7.764	-7.033	-6.500	-5.881	-5.225	-4.327	-3.581	-2.807	-2.161	-1.121	-0.323	0.464	1.244	1.990	2.830	3.706	4.406	5.143	6.081	6.564	7.062	7.569	8.053	8.584	8.985	9.283	9.508	9.654	9.592	9.738
8196.352505	0.000	-4.334	-3.387	-2.694	-1.685	-0.914	-0.101	0.706	1.710	2.516	3.302	3.915	4.875	5.549	6.166	6.733	7.224	7.768	8.312	8.645	8.982	9.491	9.519	9.540	9.551	9.523	9.532	9.403	9.168	8.861	8.479	7.899	7.540
8196.353501	0.000	1.728	2.719	3.409	4.369	5.044	5.717	6.339	7.115	7.652	8.131	8.399	8.980	9.243	9.422	9.526	9.532	9.575	9.603	9.411	9.216	9.192	8.690	8.186	7.683	7.155	6.682	6.093	5.423	4.709	3.952	3.032	2.369
8196.354499	0.000	6.879	7.604	7.991	8.612	8.917	9.189	9.384	9.711	9.778	9.771	9.541	9.615	9.366	9.032	8.626	8.130	7.680	7.231	6.578	5.946	5.509	4.621	3.763	2.939	2.127	1.407	0.612	-0.222	-1.057	-1.892	-2.845	-3.496
8196.355492	0.000	9.474	9.712	9.596	9.703	9.484	9.229	8.897	8.699	8.250	7.738	7.019	6.623	5.928	5.173	4.375	3.519	2.746	2.009	1.110	0.272	-0.327	-1.332	-2.263	-3.114	-3.906	-4.560	-5.245	-5.924	-6.560	-7.153	-7.826	-8.159
8196.356498	0.000	8.379	8.113	7.505	7.135	6.460	5.772	5.032	4.456	3.661	2.838	1.846	1.216	0.327	-0.578	-1.482	-2.400	-3.191	-3.899	-4.725	-5.445	-5.884	-6.686	-7.372	-7.940	-8.412	-8.713	-9.012	-9.276	-9.472	-9.604	-9.796	-9.633
8196.357493	0.000	4.145	3.539	2.627	1.990	1.086	0.211	-0.674	-1.352	-2.204	-3.039	-4.000	-4.553	-5.321	-6.063	-6.762	-7.435	-7.942	-8.331	-8.803	-9.139	-9.164	-9.529	-9.756	-9.846	-9.827	-9.624	-9.413	-9.165	-8.850	-8.474	-8.168	-7.519
8196.358485	0.000	-1.607	-2.268	-3.192	-3.797	-4.623	-5.379	-6.101	-6.575	-7.183	-7.737	-8.381	-8.584	-8.970	-9.303	-9.568	-9.786	-9.819	-9.721	-9.695	-9.526	-9.044	-8.902	-8.627	-8.224	-7.724	-7.056	-6.400	-5.729	-5.017	-4.275	-3.633	-2.683
8196.359488	0.000	-6.745	-7.171	-7.822	-8.119	-8.605	-8.989	-9.313	-9.363	-9.527	-9.619	-9.786	-9.501	-9.394	-9.229	-8.998	-8.722	-8.272	-7.701	-7.218	-6.611	-5.712	-5.179	-4.542	-3.807	-3.009	-2.080	-1.199	-0.344	0.511	1.355	2.055	3.020
8196.360483	0.000	-9.642	-9.611	-9.787	-9.593	-9.577	-9.453	-9.263	-8.802	-8.458	-8.050	-7.729	-6.972	-6.412	-5.817	-5.182	-4.531	-3.737	-2.857	-2.102	-1.262	-0.172	0.511	1.256	2.053	2.869	3.772	4.581	5.321	6.018	6.662	7.122	7.808
8196.361477	0.000	-9.027	-8.484	-8.156	-7.471	-6.980	-6.400	-5.779	-4.912	-4.192	-3.440	-2.810	-1.783	-0.991	-0.206	0.577	1.332	2.184	3.079	3.802	4.567	5.537	6.056	6.594	7.145	7.676	8.257	8.710	9.062	9.343	9.546	9.542	9.746
8196.362480	0.000	-5.087	-4.172	-3.505	-2.516	-1.759	-0.952	-0.146	0.863	1.681	2.486	3.124	4.114	4.825	5.484	6.098	6.641	7.242	7.846	8.243	8.647	9.226	9.326	9.420	9.505	9.552	9.635	9.579	9.416	9.180	8.865	8.350	8.052
8196.364470	0.000	6.401	7.168	7.601	8.271	8.628	8.954	9.205	9.588	9.713	9.764	9.593	9.725	9.534	9.256	8.904	8.460	8.060	7.657	7.048	6.455	6.054	5.198	4.367	3.566	2.773	2.066	1.279	0.448	-0.389	-1.230	-2.196	-2.864
8196.365469	0.000	9.245	9.588	9.579	9.792	9.679	9.528	9.297	9.198	8.844	8.423	7.789	7.472	6.850	6.161	5.421	4.616	3.884	3.181	2.306	1.484	0.891	-0.118	-1.061	-1.933	-2.756	-3.449	-4.182	-4.916	-5.616	-6.280	-7.030	-7.446
8196.366468	0.000	8.997	8.850	8.355	8.092	7.517	6.919	6.262	5.760	5.028	4.259	3.308	2.709	1.841	0.944	0.036	-0.896	-1.713	-2.459	-3.334	-4.113	-4.621	-5.502	-6.276	-6.940	-7.516	-7.927	-8.343	-8.729	-9.051	-9.312	-9.635	-9.605
8196.367469	0.000	5.353	4.804	3.940	3.340	2.464	1.605	0.726	0.044	-0.822	-1.684	-2.680	-3.279	-4.103	-4.910	-5.683	-6.437	-7.034	-7.519	-8.094	-8.537	-8.676	-9.156	-9.502	-9.714	-9.816	-9.736	-9.646	-9.518	-9.319	-9.057	-8.859	-8.314
8196.368459	0.000	-0.271	-0.948	-1.896	-2.535	-3.406	-4.215	-5.000	-5.544	-6.231	-6.870	-7.606	-7.907	-8.397	-8.838	-9.215	-9.545	-9.695	-9.713	-9.805	-9.752	-9.384	-9.353	-9.187	-8.887	-8.486	-7.911	-7.342	-6.751	-6.110	-5.431	-4.844	-3.940
8196.369460	0.000	-5.602	-6.111	-6.854	-7.250	-7.842	-8.338	-8.778	-8.949	-9.236	-9.454	-9.748	-9.591	-9.610	-9.571	-9.462	-9.306	-8.970	-8.508	-8.128	-7.617	-6.807	-6.354	-5.788	-5.115	-4.369	-3.481	-2.632	-1.796	-0.949	-0.103	0.610	1.599
8196.370453	0.000	-9.191	-9.294	-9.606	-9.550	-9.672	-9.685	-9.631	-9.303	-9.088	-8.804	-8.601	-7.956	-7.500	-7.001	-6.453	-5.880	-5.153	-4.329	-3.620	-2.813	-1.744	-1.071	-0.324	0.487	1.330	2.270	3.129	3.929	4.697	5.422	5.972	6.758
8196.371452	0.000	-9.588	-9.189	-8.999	-8.446	-8.080	-7.616	-7.102	-6.331	-5.697	-5.020	-4.453	-3.475	-2.721	-1.960	-1.187	-0.430	0.439	1.363	2.129	2.949	3.986	4.585	5.214	5.866	6.507	7.208	7.789	8.276	8.697	9.046	9.191	9.548
8196.372454	0.000	-6.564	-5.737	-5.146	-4.220	-3.514	-2.744	-1.962	-0.962	-0.140	0.683	1.353	2.388	3.157	3.887	4.584	5.222	5.929	6.648	7.170	7.707	8.426	8.672	8.917	9.156	9.361	9.603	9.706	9.702	9.621	9.460	9.093	8.937
8196.373447	0.000	-1.183	-0.170	0.564	1.590	2.352	3.133	3.882	4.804	5.504	6.162	6.625	7.415	7.898	8.308	8.650	8.903	9.196	9.477	9.539	9.598	9.824	9.567	9.302	9.029	8.722	8.457	8.062	7.572	7.022	6.411	5.617	5.062
8196.374451	0.000	4.996	5.862	6.403	7.191	7.673	8.132	8.522	9.050	9.324	9.527	9.509	9.794	9.757	9.631	9.428	9.128	8.868	8.599	8.116	7.642	7.350	6.594	5.852	5.129	4.400	3.747	3.000	2.197	1.374	0.533	-0.445	-1.140
8196.375442	0.000	8.800	9.261	9.371	9.705	9.715	9.686	9.576	9.595	9.357	9.047	8.520	8.305	7.777	7.176	6.517	5.783	5.115	4.465	3.634	2.846	2.275	1.280	0.339	-0.541	-1.383	-2.106	-2.878	-3.662	-4.421	-5.154	-5.981	-6.481
8196.376440	0.000	9.289	9.227	8.815	8.631	8.131	7.604	7.012	6.569	5.891	5.168	4.257	3.691	2.847	1.967	1.069	0.139	-0.684	-1.444	-2.340	-3.149	-3.693	-4.618	-5.442	-6.163	-6.802	-7.281	-7.770	-8.233	-8.636	-8.981	-9.392	-9.450
8196.377435	0.000	6.173	5.676	4.857	4.296	3.451	2.615	1.753	1.079	0.212	-0.656	-1.668	-2.291	-3.146	-3.991	-4.808	-5.614	-6.269	-6.817	-7.462	-7.979	-8.195	-8.758	-9.189	-9.487	-9.679	-9.689	-9.689	-9.651	-9.541	-9.366	-9.254	-8.790
8196.378431	0.000	0.763	0.087	-0.870	-1.525	-2.419	-3.260	-4.083	-4.672	-5.411	-6.109	-6.908	-7.279	-7.843	-8.362	-8.821	-9.237	-9.474	-9.581	-9.762	-9.800	-9.522	-9.580	-9.501	-9.286	-8.967	-8.471	-7.975	-7.453	-6.876	-6.254	-5.719	-4.859
8196.379427	0.000	-4.982	-5.528	-6.311	-6.752	-7.392	-7.940	-8.435	-8.663	-9.011	-9.290	-9.646	-9.553	-9.636	-9.660	-9.615	-9.520	-9.244	-8.840	-8.516	-8.057	-7.297	-6.889	-6.365	-5.729	-5.015	-4.154	-3.327	-2.509	-1.674	-0.833	-0.120	0.874
8196.380429	0.000	-8.952	-9.105	-9.468	-9.464	-9.640	-9.706	-9.705	-9.429	-9.265	-9.032	-8.877	-8.279	-7.867	-7.409	-6.898	-6.360	-5.664	-4.867	-4.180	-3.392	-2.338	-1.674	-0.933	-0.121	0.725	1.674	2.546	3.364	4.154	4.905	5.486	6.304
8196.381431	0.000	-9.700	-9.346	-9.202	-8.692	-8.368	-7.944	-7.467	-6.730	-6.127	-5.478	-4.936	-3.979	-3.242	-2.493	-1.730	-0.977	-0.109	0.818	1.592	2.423	3.477	4.095	4.747	5.426	6.098	6.831	7.449	7.975	8.437	8.829	9.019	9.422
8196.382428	0.000	-7.051	-6.262	-5.705	-4.810	-4.129	-3.380	-2.614	-1.625	-0.809	0.013	0.687	1.732	2.515	3.264	3.985	4.651	5.391	6.147	6.710	7.291	8.057	8.353	8.651	8.945	9.206	9.505	9.667	9.721	9.698	9.595	9.285	9.184
8196.383420	0.000	-1.727	-0.718	0.016	1.046	1.816	2.609	3.374	4.316	5.040	5.726	6.220	7.043	7.563	8.011	8.395	8.691	9.029	9.356	9.465	9.571	9.846	9.636	9.419	9.192	8.930	8.708	8.355	7.904	7.391	6.814	6.051	5.523
8196.384423	0.000	4.254	5.159	5.745	6.583	7.119	7.637	8.090	8.683	9.025	9.299	9.353	9.713	9.750	9.698	9.569	9.342	9.153	8.953	8.537	8.125	7.893	7.192	6.501	5.823	5.136	4.517	3.799	3.019	2.212	1.382	0.407	-0.289
8196.385417	0.000	8.437	8.966	9.147	9.554	9.637	9.683	9.647	9.740	9.575	9.336	8.878	8.728	8.264	7.722	7.118	6.435	5.812	5.202	4.406	3.646	3.099	2.119	1.189	0.312	-0.533	-1.266	-2.053	-2.860	-3.647	-4.414	-5.280	-5.826
8196.386422	0.000	9.449	9.459	9.118	9.003	8.567	8.103	7.569	7.180	6.552	5.874	5.002	4.469	3.653	2.795	1.911	0.989	0.168	-0.595	-1.502	-2.328	-2.896	-3.850	-4.710	-5.471	-6.156	-6.687	-7.230	-7.754	-8.220	-8.632	-9.111	-9.241
8196.387416	0.000	6.795	6.347	5.571	5.048	4.235	3.426	2.583	1.923	1.064	0.196	-0.822	-1.456	-2.329	-3.199	-4.047	-4.889	-5.586	-6.182	-6.878	-7.452	-7.728	-8.355	-8.853	-9.221	-9.484	-9.567	-9.642	-9.678	-9.642	-9.541	-9.500	-9.107
8196.388415	0.000	1.488	0.817	-0.139	-0.800	-1.705	-2.562	-3.407	-4.023	-4.794	-5.528	-6.369	-6.784	-7.398	-7.969	-8.482	-8.956	-9.253	-9.422	-9.666	-9.767	-9.553	-9.675	-9.658	-9.505	-9.246	-8.808	-8.367	-7.897	-7.369	-6.793	-6.299	-5.476
8196.389403	0.000	-4.113	-4.701	-5.533	-6.027	-6.727	-7.340	-7.904	-8.206	-8.630	-8.989	-9.427	-9.418	-9.585	-9.694	-9.733	-9.722	-9.529	-9.205	-8.959	-8.574	-7.883	-7.542	-7.077	-6.497	-5.832	-5.015	-4.224	-3.436	-2.623	-1.798	-1.094	-0.100
8196.390404	0.000	-8.467	-8.702	-9.150	-9.233	-9.497	-9.653	-9.743	-9.557	-9.482	-9.336	-9.267	-8.751	-8.417	-8.034	-7.593	-7.118	-6.481	-5.736	-5.096	-4.346	-3.323	-2.683	-1.958	-1.156	-0.310	0.647	1.534	2.374	3.195	3.984	4.608	5.479
8196.391396	0.000	-9.822	-9.552	-9.490	-9.061	-8.813	-8.463	-8.056	-7.385	-6.843	-6.249	-5.755	-4.841	-4.140	-3.421	-2.680	-1.943	-1.082	-0.156	0.625	1.470	2.546	3.193	3.880	4.601	5.321	6.109	6.786	7.377	7.909	8.374	8.641	9.124
8196.392398	0.000	-7.506	-6.758	-6.238	-5.376	-4.724	-4.001	-3.254	-2.280	-1.474	-0.656	0.017	1.068	1.861	2.625	3.366	4.058	4.826	5.617	6.217	6.839	7.650	7.995	8.343	8.690	9.006	9.362	9.581	9.693	9.729	9.684	9.432	9.388
8196.393391	0.000	-2.621	-1.625	-0.897	0.133	0.911	1.718	2.505	3.474	4.233	4.959	5.499	6.374	6.950	7.460	7.910	8.275	8.685	9.088	9.274	9.459	9.813	9.683	9.545	9.397	9.211	9.064	8.783	8.401	7.953	7.436	6.730	6.253
8196.394393	0.000	3.364	4.308	4.938	5.827	6.420	6.999	7.519	8.183	8.600	8.952	9.087	9.529	9.650	9.683	9.639	9.497	9.391	9.272	8.935	8.600	8.440	7.807	7.179	6.560	5.925	5.353	4.676	3.929	3.150	2.339	1.377	0.685
8196.395384	0.000	8.073	8.659	8.899	9.367	9.512	9.621	9.649	9.805	9.703	9.527	9.129	9.039	8.631	8.143	7.589	6.953	6.373	5.802	5.040	4.309	3.786	2.826	1.909	1.040	0.198	-0.537	-1.334	-2.154	-2.960	-3.752	-4.648	-5.228
8196.396392	0.000	9.527	9.600	9.321	9.266	8.889	8.481	8.000	7.661	7.079	6.443	5.609	5.109	4.321	3.486	2.621	1.712	0.898	0.135	-0.775	-1.611	-2.193	-3.168	-4.053	-4.845	-5.566	-6.136	-6.723	-7.295	-7.813	-8.279	-8.815	-9.004
8196.397385	0.000	7.285	6.882	6.148	5.662	4.881	4.099	3.279	2.636	1.788	0.926	-0.091	-0.731	-1.614	-2.500	-3.370	-4.239	-4.967	-5.599	-6.336	-6.954	-7.279	-7.958	-8.511	-8.937	-9.260	-9.404	-9.542	-9.641	-9.669	-9.631	-9.654	-9.322
8196.398383	0.000	2.322	1.663	0.713	0.052	-0.860	-1.730	-2.594	-3.237	-4.039	-4.811	-5.694	-6.158	-6.824	-7.453	-8.027	-8.566	-8.930	-9.169	-9.485	-9.660	-9.520	-9.716	-9.773	-9.694	-9.506	-9.137	-8.764	-8.358	-7.892	-7.372	-6.930	-6.155
8196.399386	0.000	-2.914	-3.545	-4.429	-4.984	-5.752	-6.441	-7.088	-7.478	-7.997	-8.455	-8.997	-9.094	-9.371	-9.591	-9.741	-9.841	-9.759	-9.544	-9.403	-9.121	-8.529	-8.281	-7.905	-7.406	-6.817	-6.067	-5.335	-4.598	-3.828	-3.036	-2.354	-1.375
8196.400373	0.000	-7.738	-8.067	-8.615	-8.801	-9.172	-9.437	-9.638	-9.563	-9.600	-9.564	-9.603	-9.194	-8.963	-8.678	-8.331	-7.945	-7.389	-6.720	-6.147	-5.457	-4.485	-3.887	-3.195	-2.416	-1.584	-0.632	0.260	1.116	1.961	2.784	3.452	4.374
8196.401380	0.000	-9.830	-9.678	-9.731	-9.416	-9.280	-9.037	-8.733	-8.161	-7.710	-7.202	-6.787	-5.944	-5.305	-4.639	-3.942	-3.239	-2.403	-1.491	-0.715	0.137	1.228	1.901	2.624	3.391	4.165	5.017	5.765	6.436	7.055	7.613	7.979	8.565
8196.402373	0.000	-8.306	-7.649	-7.214	-6.428	-5.844	-5.180	-4.485	-3.552	-2.778	-1.982	-1.320	-0.271	0.530	1.313	2.083	2.813	3.630	4.477	5.143	5.839	6.732	7.165	7.608	8.056	8.477	8.941	9.274	9.501	9.653	9.725	9.588	9.660
8196.403373	0.000	-3.663	-2.694	-1.982	-0.962	-0.184	0.630	1.432	2.426	3.216	3.982	4.569	5.498	6.136	6.713	7.235	7.678	8.171	8.659	8.935	9.212	9.660	9.626	9.583	9.530	9.439	9.385	9.194	8.899	8.534	8.096	7.463	7.055
8196.404370	0.000	1.907	2.894	3.579	4.532	5.200	5.864	6.476	7.240	7.765	8.231	8.486	9.052	9.301	9.464	9.552	9.543	9.570	9.582	9.373	9.164	9.125	8.608	8.090	7.573	7.034	6.549	5.949	5.270	4.548	3.785	2.858	2.191
