July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Counter data is in units of (Counts). Voltage data is in units of (V).


VI_time      	ctr0	VI_0	VI_1	VI_2	VI_3	VI_4	VI_5	VI_6	VI_7	VI_8	VI_9	VI_10	VI_11	VI_12	VI_13	VI_14	VI_15	VI_16	VI_17	VI_18	VI_19	VI_20	VI_21	VI_22	VI_23	VI_24	VI_25	VI_26	VI_27	VI_28	VI_29	VI_30	VI_31
8195.785734	0.000	2.380	1.723	0.773	0.113	-0.800	-1.670	-2.536	-3.179	-3.984	-4.758	-5.645	-6.112	-6.781	-7.413	-7.993	-8.536	-8.905	-9.148	-9.470	-9.649	-9.514	-9.716	-9.779	-9.704	-9.522	-9.158	-8.790	-8.389	-7.927	-7.411	-6.973	-6.202
8195.786731	0.000	-3.720	-4.324	-5.174	-5.690	-6.414	-7.054	-7.647	-7.979	-8.435	-8.828	-9.302	-9.328	-9.533	-9.678	-9.755	-9.781	-9.624	-9.336	-9.124	-8.773	-8.115	-7.803	-7.368	-6.813	-6.172	-5.376	-4.604	-3.831	-3.031	-2.216	-1.517	-0.526
8195.787729	0.000	-8.138	-8.418	-8.914	-9.047	-9.363	-9.571	-9.714	-9.581	-9.559	-9.465	-9.447	-8.981	-8.696	-8.359	-7.961	-7.528	-6.929	-6.218	-5.608	-4.885	-3.885	-3.264	-2.553	-1.759	-0.918	0.038	0.929	1.779	2.613	3.420	4.067	4.963
8195.788730	0.000	-9.848	-9.653	-9.665	-9.307	-9.130	-8.848	-8.505	-7.896	-7.411	-6.870	-6.426	-5.555	-4.892	-4.205	-3.490	-2.773	-1.927	-1.007	-0.228	0.623	1.711	2.376	3.088	3.840	4.597	5.426	6.150	6.793	7.382	7.907	8.238	8.788
8195.789723	0.000	-8.103	-7.420	-6.960	-6.152	-5.549	-4.868	-4.156	-3.211	-2.426	-1.624	-0.956	0.094	0.895	1.675	2.438	3.159	3.964	4.797	5.447	6.124	6.996	7.406	7.823	8.245	8.638	9.073	9.375	9.571	9.692	9.732	9.564	9.604
8195.790728	0.000	-3.492	-2.517	-1.803	-0.780	-0.002	0.812	1.613	2.603	3.389	4.149	4.728	5.649	6.277	6.844	7.354	7.785	8.264	8.739	9.000	9.262	9.694	9.644	9.585	9.516	9.410	9.339	9.133	8.824	8.444	7.993	7.348	6.927
8195.791720	0.000	2.498	3.470	4.136	5.065	5.705	6.337	6.914	7.640	8.123	8.544	8.752	9.270	9.468	9.580	9.615	9.553	9.527	9.486	9.226	8.965	8.876	8.312	7.749	7.189	6.610	6.089	5.456	4.747	4.000	3.216	2.273	1.593
8195.792717	0.000	7.515	8.172	8.488	9.034	9.261	9.453	9.565	9.807	9.789	9.697	9.383	9.374	9.044	8.631	8.149	7.581	7.063	6.550	5.839	5.154	4.670	3.742	2.851	2.000	1.169	0.437	-0.363	-1.194	-2.019	-2.836	-3.765	-4.385
8195.793715	0.000	9.543	9.707	9.517	9.550	9.259	8.933	8.532	8.268	7.757	7.186	6.413	5.967	5.226	4.432	3.600	2.716	1.921	1.168	0.260	-0.581	-1.176	-2.172	-3.086	-3.914	-4.677	-5.297	-5.941	-6.574	-7.160	-7.698	-8.312	-8.581
8195.794713	0.000	7.873	7.536	6.862	6.430	5.699	4.960	4.177	3.563	2.738	1.892	0.882	0.243	-0.647	-1.547	-2.438	-3.335	-4.099	-4.773	-5.558	-6.231	-6.616	-7.359	-7.981	-8.480	-8.880	-9.104	-9.324	-9.507	-9.620	-9.667	-9.774	-9.526
